A_x,A_y,B_x,B_y,A_native_x,A_native_y,B_native_x,B_native_y,A_lon,A_lat,B_lon,B_lat,geo_distance_deg
450.0,560.0,480.0,10.0,4500,5600,4800,100,56.6682653,-61.6598482,56.6688766,-61.6601822,0.0006965943511084514
460.0,560.0,490.0,10.0,4600,5600,4900,100,56.6701366,-61.6597995,56.6707935,-61.6601572,0.0007479752001270598
470.0,560.0,500.0,0.0,4700,5600,5000,0,56.6720078,-61.6597507,56.6726159,-61.6592479,0.0007890459112067041
480.0,560.0,510.0,0.0,4800,5600,5100,0,56.6738792,-61.6597019,56.6745332,-61.6592228,0.000810711298796415
490.0,560.0,520.0,0.0,4900,5600,5200,0,56.6757506,-61.6596531,56.6764507,-61.6591977,0.0008351821178606924
500.0,560.0,530.0,0.0,5000,5600,5300,0,56.6776221,-61.6596042,56.6783685,-61.6591725,0.0008622516164064924
510.0,560.0,540.0,0.0,5100,5600,5400,0,56.6794937,-61.6595554,56.6802865,-61.6591473,0.0008916711557519024
520.0,560.0,550.0,0.0,5200,5600,5500,0,56.6813653,-61.6595064,56.6822047,-61.6591221,0.0009231894984209603
530.0,560.0,560.0,0.0,5300,5600,5600,0,56.683237,-61.6594575,56.6841232,-61.6590969,0.0009567563953309922
550.0,560.0,570.0,0.0,5500,5600,5700,0,56.6869806,-61.6593595,56.6860419,-61.6590717,0.0009818281570618272
560.0,560.0,580.0,0.0,5600,5600,5800,0,56.6888525,-61.6593104,56.6879608,-61.6590464,0.0009299596174069851
570.0,560.0,590.0,0.0,5700,5600,5900,0,56.6907245,-61.6592613,56.68988,-61.6590211,0.000877995609328018
580.0,560.0,600.0,0.0,5800,5600,6000,0,56.6925966,-61.6592122,56.6917994,-61.6589957,0.0008260751115980443
590.0,560.0,610.0,0.0,5900,5600,6100,0,56.6944687,-61.6591631,56.693719,-61.6589703,0.0007740942642859248
600.0,560.0,620.0,0.0,6000,5600,6200,0,56.6963409,-61.6591139,56.6956389,-61.6589449,0.0007220560920077213
610.0,560.0,630.0,0.0,6100,5600,6300,0,56.6982132,-61.6590647,56.697559,-61.6589195,0.0006701198997187621
620.0,560.0,640.0,0.0,6200,5600,6400,0,56.7000855,-61.6590155,56.6994793,-61.6588941,0.0006182365243182787
630.0,560.0,650.0,0.0,6300,5600,6500,0,56.7019579,-61.6589662,56.7013999,-61.6588686,0.0005664713231917006
640.0,560.0,660.0,0.0,6400,5600,6600,0,56.7038304,-61.6589169,56.7033207,-61.6588431,0.0005150150774516129
650.0,560.0,670.0,0.0,6500,5600,6700,0,56.7057029,-61.6588676,56.7052417,-61.6588175,0.000463913192307737
660.0,560.0,680.0,0.0,6600,5600,6800,0,56.7075755,-61.6588182,56.707163,-61.658792,0.00041333121101203566
670.0,560.0,690.0,0.0,6700,5600,6900,0,56.7094482,-61.6587688,56.7090845,-61.6587664,0.00036370791852212116
680.0,560.0,700.0,0.0,6800,5600,7000,0,56.711321,-61.6587194,56.7110063,-61.6587407,0.0003154200057037022
690.0,560.0,710.0,0.0,6900,5600,7100,0,56.7131938,-61.65867,56.7129282,-61.6587151,0.0002694018745284654
700.0,560.0,720.0,0.0,7000,5600,7200,0,56.7150667,-61.6586205,56.7148504,-61.6586894,0.0002270085901447783
710.0,560.0,730.0,0.0,7100,5600,7300,0,56.7169397,-61.658571,56.7167729,-61.6586637,0.0001908285355959768
720.0,560.0,740.0,0.0,7200,5600,7400,0,56.7188127,-61.6585214,56.7186956,-61.658638,0.00016525123298256338
730.0,560.0,750.0,0.0,7300,5600,7500,0,56.7206858,-61.6584718,56.7206185,-61.6586122,0.00015569666020671228
740.0,560.0,760.0,0.0,7400,5600,7600,0,56.722559,-61.6584222,56.7225416,-61.6585864,0.00016511935077402054
750.0,560.0,770.0,0.0,7500,5600,7700,0,56.7244322,-61.6583726,56.724465,-61.6585606,0.000190839828129519
760.0,560.0,780.0,0.0,7600,5600,7800,0,56.7263056,-61.6583229,56.7263886,-61.6585348,0.0002275755039496383
770.0,560.0,790.0,0.0,7700,5600,7900,0,56.7281789,-61.6582732,56.7283125,-61.6585089,0.00027093071070230924
780.0,560.0,800.0,0.0,7800,5600,8000,0,56.7300524,-61.6582235,56.7302366,-61.658483,0.0003182293041174866
790.0,560.0,810.0,0.0,7900,5600,8100,0,56.7319259,-61.6581737,56.7321609,-61.6584571,0.00036815833550080893
800.0,560.0,820.0,0.0,8000,5600,8200,0,56.7337995,-61.6581239,56.7340855,-61.6584311,0.0004197235280497467
810.0,560.0,830.0,0.0,8100,5600,8300,0,56.7356732,-61.6580741,56.7360103,-61.6584051,0.00047243773134566006
820.0,560.0,840.0,0.0,8200,5600,8400,0,56.737547,-61.6580242,56.7379353,-61.6583791,0.0005260521837198228
830.0,560.0,850.0,0.0,8300,5600,8500,0,56.7394208,-61.6579743,56.7398606,-61.658353,0.0005803772307742323
840.0,560.0,860.0,0.0,8400,5600,8600,0,56.7412946,-61.6579244,56.7417861,-61.658327,0.0006353416482463063
0.0,570.0,40.0,30.0,0,5700,400,300,56.5842007,-61.6629313,56.5849495,-61.6630259,0.0007547520122572922
10.0,570.0,50.0,30.0,100,5700,500,300,56.5860689,-61.662884,56.5868563,-61.663002,0.0007961926651259006
20.0,570.0,60.0,30.0,200,5700,600,300,56.5879371,-61.6628366,56.5887633,-61.6629782,0.0008382463838262294
30.0,570.0,70.0,30.0,300,5700,700,300,56.5898054,-61.6627892,56.5906705,-61.6629543,0.0008807133585899943
40.0,570.0,80.0,30.0,400,5700,800,300,56.5916738,-61.6627418,56.592578,-61.6629304,0.0009236598941179273
60.0,570.0,90.0,30.0,600,5700,900,300,56.5954107,-61.6626468,56.5944857,-61.6629064,0.0009607378206379034
70.0,570.0,100.0,30.0,700,5700,1000,300,56.5972792,-61.6625993,56.5963937,-61.6628825,0.0009296840807541003
80.0,570.0,110.0,30.0,800,5700,1100,300,56.5991479,-61.6625517,56.5983018,-61.6628585,0.0009000063610846679
90.0,570.0,120.0,30.0,900,5700,1200,300,56.6010166,-61.6625041,56.6002102,-61.6628345,0.0008714614850955239
100.0,570.0,130.0,30.0,1000,5700,1300,300,56.6028853,-61.6624565,56.6021189,-61.6628104,0.0008441647765658956
110.0,570.0,140.0,30.0,1100,5700,1400,300,56.6047542,-61.6624088,56.6040277,-61.6627863,0.0008187237018663643
120.0,570.0,150.0,30.0,1200,5700,1500,300,56.6066231,-61.6623612,56.6059368,-61.6627622,0.000794863944332849
130.0,570.0,160.0,30.0,1300,5700,1600,300,56.6084921,-61.6623134,56.6078461,-61.6627381,0.0007731016039253576
140.0,570.0,170.0,30.0,1400,5700,1700,300,56.6103611,-61.6622657,56.6097557,-61.662714,0.0007533140447378088
150.0,570.0,180.0,30.0,1500,5700,1800,300,56.6122302,-61.6622179,56.6116655,-61.6626898,0.0007359182699177766
160.0,570.0,190.0,30.0,1600,5700,1900,300,56.6140994,-61.6621701,56.6135755,-61.6626656,0.0007211043336417339
170.0,570.0,200.0,20.0,1700,5700,2000,200,56.6159687,-61.6621223,56.6153916,-61.6617564,0.0006833207299650981
180.0,570.0,210.0,20.0,1800,5700,2100,200,56.617838,-61.6620744,56.617302,-61.6617321,0.0006359758564571363
190.0,570.0,220.0,20.0,1900,5700,2200,200,56.6197074,-61.6620265,56.6192126,-61.6617078,0.000588554780803131
200.0,570.0,230.0,20.0,2000,5700,2300,200,56.6215768,-61.6619786,56.6211235,-61.6616835,0.0005408926880576357
210.0,570.0,240.0,20.0,2100,5700,2400,200,56.6234464,-61.6619306,56.6230347,-61.6616591,0.0004931623870479508
220.0,570.0,250.0,20.0,2200,5700,2500,200,56.625316,-61.6618826,56.624946,-61.6616348,0.00044531431595664647
230.0,570.0,260.0,20.0,2300,5700,2600,200,56.6271856,-61.6618346,56.6268576,-61.6616104,0.0003973029574475941
