image,csv,width,height,lon_min,lon_max,lat_min,lat_max,rows,status
ch2_ohr_ncp_20200229T0739312111.png,ch2_ohr_ncp_20200229T0739312111.csv,1200,9369,43.3594878,43.9577057,-74.3660503,-73.5167712,113498,OK
ch2_ohr_ncp_20200229T0938004033.png,ch2_ohr_ncp_20200229T0938004033.csv,1200,9369,42.457137,43.031644,-73.9204047,-73.0713837,113498,OK
ch2_ohr_ncp_20200824T0806596861.png,ch2_ohr_ncp_20200824T0806596861.csv,1200,9015,56.5804346,56.8719018,-62.4417055,-61.6044579,109263,OK
ch2_ohr_ncp_20200824T1003365280.png,ch2_ohr_ncp_20200824T1003365280.csv,1200,9369,56.5770474,56.9029364,-62.4900453,-61.657424,113498,OK
ch2_ohr_ncp_20200825T1127278043.png,ch2_ohr_ncp_20200825T1127278043.csv,1200,9369,41.1413342,41.4820446,-69.1974954,-68.3598198,113498,OK
ch2_ohr_ncp_20220713T1223352463.png,ch2_ohr_ncp_20220713T1223352463.csv,1200,9197,342.558116,342.878186,-69.9851955,-69.1474964,111441,OK
ch2_ohr_ncp_20230302T1800381020.png,ch2_ohr_ncp_20230302T1800381020.csv,1200,9369,342.81392,343.116416,-69.5769424,-68.7361725,113498,OK
ch2_ohr_ncp_20230302T1959073730.png,ch2_ohr_ncp_20230302T1959073730.csv,1200,9369,342.777027,343.110211,-69.5362163,-68.6932504,113498,OK
ch2_ohr_ncp_20230302T2156293910.png,ch2_ohr_ncp_20230302T2156293910.csv,1200,9369,342.515291,342.880967,-69.521299,-68.68382,113498,OK
ch2_ohr_ncp_20230302T2354544015.png,ch2_ohr_ncp_20230302T2354544015.csv,1200,9369,342.483432,342.898171,-69.6346103,-68.7961946,113498,OK
ch2_ohr_ncp_20250301T0406349947.png,ch2_ohr_ncp_20250301T0406349947.csv,1200,10107,174.222107,250.582068,-89.6119489,-89.11116,122452,OK
ch2_ohr_ncp_20250301T0802459739.png,ch2_ohr_ncp_20250301T0802459739.csv,1200,10107,185.0537,251.410107,-89.6187151,-89.0379649,122452,OK
ch2_ohr_ncp_20250302T0343544160.png,ch2_ohr_ncp_20250302T0343544160.csv,1200,10107,149.425938,242.25783,-89.7048998,-89.1988462,122452,OK
ch2_ohr_ncp_20250302T0542319797.png,ch2_ohr_ncp_20250302T0542319797.csv,1200,9434,162.434186,242.295895,-89.7089751,-89.1779269,114345,OK
ch2_ohr_ncp_20250302T0740081828.png,ch2_ohr_ncp_20250302T0740081828.csv,1200,10107,141.384748,239.975561,-89.7168477,-89.2327618,122452,OK
ch2_ohr_ncp_20250302T0938436809.png,ch2_ohr_ncp_20250302T0938436809.csv,1200,10107,175.280058,244.179511,-89.720887,-89.0574066,122452,OK
ch2_ohr_ncp_20250303T0519189364.png,ch2_ohr_ncp_20250303T0519189364.csv,1200,10107,142.893574,236.773669,-89.8010857,-89.1685347,122452,OK
